118.86	39.88	9	2.2
117.88	39.33	15	1.8
118.11	39.45	11	1.6
116.1	38.76	11	1.8
115.18	39	12	1.5
116.16	40.2	19	2
118.33	39.7	12	1.6
118.36	39.7	6	1.3
118.73	39.76	10	1.9
118.66	39.73	21	2.4
118.68	39.75	17	2.7
118.43	39.75	15	1.6
117.8	39.31	14	1.7
116.78	38.9	22	1.5
118.16	39.56	9	2.4
114.68	40	10	2.7
115.25	39.23	11	1.6
114.26	40.41	9	1.8
118.9	39.96	11	2
117.86	39.35	19	2.2
118.73	39.76	14	2.3
118.61	39.75	17	2.1
118.43	39.78	16	1.6
118.48	39.76	6	2
116.91	39	17	1.9
116.71	38.83	24	2.6
118.65	39.75	10	2.1
118.51	39.81	15	1.7
116.35	39.98	16	1.7
117.25	39.91	10	2.1
116.25	40.03	14	1.8
114.21	39.83	10	1.6
118.51	39.78	10	2
115.81	40.61	17	1.5
116.66	38.83	14	2.4
117.78	39.28	17	1.7
116.6	40.53	23	1.5
117.83	39.33	18	1.9
116.23	40.03	11	2.1
116.23	40.03	12	1.7
117.86	39.26	16	1.8
117.71	39.25	14	1.6
115.35	39.96	8	1.5
118.73	39.71	9	1.8
118.26	39.56	4	2.1
118.86	39.98	10	1.7
118.45	39.75	6	2.1
116.56	38.53	9	2.4
118.46	39.61	0	1.5
118.31	39.65	8	1.5
118.46	39.75	14	1.7
116.23	40.06	5	1.7
118.86	39.91	11	1.8
116.71	38.81	12	2.2
118.68	39.76	10	1.5
117.8	39.26	19	1.7
118.7	39.8	10	1.5
118.21	39.61	5	1.9
116.26	40.03	14	2.7
118.73	39.68	9	2.1
118.33	39.71	5	2.7
115.45	40.86	30	1.5
114.38	39.23	17	3.2
116.35	40.06	24	1.7
114.68	39.96	10	1.6
114.01	39.51	28	1.6
118.73	39.71	10	1.5
118.9	39.96	8	2.1
118.43	39.73	14	1.6
118.28	39.66	5	1.8
118.35	39.7	7	1.6
117.36	39.91	29	2.5
115.56	40.5	0	3
118.21	39.58	10	1.6
118.33	39.73	4	1.9
115.33	38.96	9	1.6
114.48	40.8	15	1.5
